city,year,people,air_general_level,net_salary,avg_age,ilm,birth,crimes,criminals,death,pens,preschool_child,length_of_roads,energy_consumption,migration_net,housing_stock,wage,workers,poverty_level,housing_price
Абакан,2015,173285.0,2.0,31857.0,37.51,9619.0,15.4,5002.0,2204.0,11.6,44.9,11.9,536.1,170.5,2273.0,23.9,37043.5,48.8,18.5,33315.11
Абакан,2016,176212.0,1.0,33332.0,37.58,9727.0,14.5,3945.0,1825.0,11.1,45.6,12.2,186.6,163.6,1928.0,24.1,38758.7,48.7,18.5,33315.11
Абакан,2017,179163.0,3.0,35435.0,37.69,9647.0,13.5,4079.0,1847.0,10.5,46.2,12.6,282.2,187.4,1923.0,24.5,41203.1,46.6,18.5,30899.74
Абакан,2018,181709.0,4.0,38960.0,37.86,10053.0,12.2,4079.0,1847.0,10.5,47.0,12.8,417.4,184.4,1713.0,24.9,45301.9,46.5,18.5,38272.57
Абакан,2019,184766.0,4.0,40642.0,38.08,11150.0,11.5,4079.0,1847.0,10.3,46.9,13.5,515.1,192.8,374.0,27.2,47258.6,46.2,19.0,47691.253333333334
Абакан,2020,186797.0,3.0,43532.0,38.33,11693.0,11.5,4079.0,1847.0,10.3,46.9,13.5,181.2,219.1,707.0,27.74,47258.6,46.2,18.5,57109.93666666666
Абакан,2021,187239.0,4.0,46423.0,38.52,11693.0,11.5,4079.0,1847.0,10.3,46.9,13.5,396.0,161.4,534.0,28.43,47258.6,46.2,17.9,66528.62
Абакан,2022,184624.0,4.0,49507.0,38.68,11693.0,11.5,4079.0,1847.0,10.3,46.9,13.5,465.7,177.6,584.0,29.05,47258.6,46.2,16.9,86197.88
Азов,2015,82046.0,2.0,37615.0,40.54,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,323.9,169.2,81.0,23.7,40126.3,84.1,13.2,41725.27
Азов,2016,81928.0,2.0,37615.0,40.64,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,531.0,211.2,81.0,24.1,40126.3,84.1,13.2,41951.41
Азов,2017,81671.0,2.0,37615.0,40.76,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,553.1,185.2,81.0,24.9,40126.3,84.1,13.2,42730.05
Азов,2018,81378.0,2.0,37615.0,40.93,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,170.2,211.4,81.0,25.6,40126.3,84.1,13.2,45175.29
Азов,2019,80873.0,1.0,37615.0,41.12,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,436.1,189.9,81.0,26.1,40126.3,84.1,13.3,43944.07
Азов,2020,80478.0,2.0,37615.0,41.33,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,423.6,165.7,81.0,26.81,40126.3,84.1,13.0,45175.29
Азов,2021,79970.0,3.0,37615.0,41.47,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,577.8,160.0,81.0,27.61,40126.3,84.1,12.0,51446.52
Азов,2022,79500.0,3.0,37615.0,41.51,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,395.8,161.9,81.0,28.57,40126.3,84.1,10.2,80114.9
Аксарайский,2015,3189.0,1.0,37615.0,38.32,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,398.6,194.0,81.0,21.0,40126.3,84.1,14.8,39845.39
Аксарайский,2016,3245.0,1.0,37615.0,38.4,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,353.2,206.7,81.0,21.3,40126.3,84.1,14.8,36593.82
Аксарайский,2017,3230.0,1.0,37615.0,38.52,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,594.4,161.0,81.0,21.5,40126.3,84.1,14.8,37439.77
Аксарайский,2018,3200.0,1.0,37615.0,38.71,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,566.3,182.5,81.0,21.2,40126.3,84.1,14.8,43293.58
Аксарайский,2019,3150.0,1.0,37615.0,38.91,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,391.6,175.9,81.0,21.6,40126.3,84.1,15.1,40894.34
Аксарайский,2020,3100.0,1.0,37615.0,39.23,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,393.7,161.3,81.0,22.02,40126.3,84.1,15.2,43293.58
Аксарайский,2021,3050.0,1.0,37615.0,39.42,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,151.3,163.7,81.0,22.77,40126.3,84.1,15.0,55186.74
Аксарайский,2022,3000.0,1.0,37615.0,39.51,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,470.7,169.0,81.0,23.11,40126.3,84.1,12.5,79709.07
Александровск-Сахалинский,2015,129993.0,2.0,37615.0,38.42,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,181.3,199.8,81.0,24.9,40126.3,84.1,8.3,67802.1
Александровск-Сахалинский,2016,129993.0,2.0,37615.0,38.53,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,379.3,183.0,81.0,25.4,40126.3,84.1,8.3,65009.32
Александровск-Сахалинский,2017,129993.0,1.0,37615.0,38.59,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,218.4,193.5,81.0,25.6,40126.3,84.1,8.3,67799.28
Александровск-Сахалинский,2018,129993.0,2.0,37615.0,38.67,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,251.2,184.2,81.0,26.1,40126.3,84.1,8.3,78579.31
Александровск-Сахалинский,2019,129993.0,1.0,37615.0,38.78,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,460.3,187.2,81.0,26.6,40126.3,84.1,8.0,65952.07
Александровск-Сахалинский,2020,129993.0,1.0,37615.0,38.95,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,159.0,205.7,81.0,27.6,40126.3,84.1,7.5,117624.02
